requirement_id,regime,topic,topic_canonical,requirement_type,authority_level,requirement,covered_actors,data_categories,data_categories_canonical,legal_bases,consent_required,regions,exceptions,effective_from,effective_to,policy_version,source_ids
REQ-BR-LGPD-011,Brazil-LGPD,security,security,obligation,statute,Security incidents may require notification to ANPD and affected data subjects,controller,personal_data,personal_data,,no,Brazil,LGPD and ANPD regulatory conditions,2020-09-18,,LGPD-13-709-2018,SRC-BR-LGPD
REQ-BR-LGPD-012,Brazil-LGPD,vendor_relationship,vendor_relationship,obligation,statute,Processor/controller responsibilities must be distinguished,controller;processor,personal_data,personal_data,,no,Brazil,Articles 39-42 conditions,2020-09-18,,LGPD-13-709-2018,SRC-BR-LGPD
REQ-BR-LGPD-013,Brazil-LGPD,international_transfer,international_transfer,obligation,delegated,International transfers require a statutory transfer mechanism,controller;processor,personal_data,personal_data,,conditional,Brazil,ANPD regulation applies,2024-09-04,,LGPD-13-709-2018,SRC-BR-ANPD-TRANSFERS-19-2024
REQ-BR-LGPD-014,Brazil-LGPD,accountability,accountability,obligation,statute,Controller may need an Encarregado and governance measures,controller,personal_data,personal_data,,no,Brazil,LGPD and ANPD rules,2020-09-18,,LGPD-13-709-2018,SRC-BR-LGPD
REQ-BR-LGPD-015,Brazil-LGPD,enforcement,enforcement,enforcement,delegated,ANPD may impose administrative sanctions,controller;processor,personal_data,personal_data,,,Brazil,Articles 52-54 and ANPD dosimetry rules,2021-08-01,,LGPD-13-709-2018,SRC-BR-ANPD-SANCTIONS-4-2023
REQ-BR-LGPD-016,Brazil-LGPD,sale_and_sharing,sale_and_sharing,definition,statute,LGPD does not create a CCPA-style universal sale/sharing opt-out,controller,personal_data,personal_data,,,Brazil,Do not map directly to CCPA sale/sharing,2020-09-18,,LGPD-13-709-2018,SRC-BR-LGPD
REQ-CA-CCPA-001,California-CCPA-CPRA,scope,applicability,scope,statute,"The CCPA applies to covered businesses and other regulated actors meeting the statutory applicability requirements and thresholds, subject to exemptions.",business;service_provider;contractor;third_party,personal_information,personal_data,,,California,statutory_exemptions,2020-01-01,,CCPA-2026,SRC-CA-CCPA-STATUTE-2026
REQ-CA-CCPA-002,California-CCPA-CPRA,notice_at_collection,notice,obligation,statute,Businesses must provide required notice at or before collection of personal information.,business,personal_information,personal_data,,,California,,2020-01-01,,CCPA-2026,SRC-CA-CCPA-STATUTE-2026;SRC-CA-CCPA-REGS-2026
REQ-CA-CCPA-003,California-CCPA-CPRA,privacy_policy,notice,obligation,statute,"Covered businesses must make required disclosures in their privacy policy, including categories of information, purposes and applicable consumer rights and methods.",business,personal_information,personal_data,,,California,,2020-01-01,,CCPA-2026,SRC-CA-CCPA-STATUTE-2026;SRC-CA-CCPA-REGS-2026
REQ-CA-CCPA-004,California-CCPA-CPRA,right_to_know,rights,right,statute,"Consumers have rights to request information about collection, use, disclosure and other statutory categories of personal information.",business,personal_information,personal_data,,,California,statutory_exceptions,2020-01-01,,CCPA-2026,SRC-CA-CCPA-STATUTE-2026;SRC-CA-OAG-CCPA
REQ-CA-CCPA-005,California-CCPA-CPRA,right_to_delete,rights,right,statute,"Consumers have a right to request deletion of personal information, subject to statutory exceptions.",business,personal_information,personal_data,,,California,statutory_exceptions,2020-01-01,,CCPA-2026,SRC-CA-CCPA-STATUTE-2026;SRC-CA-OAG-CCPA
REQ-CA-CCPA-006,California-CCPA-CPRA,sale_opt_out,sale_and_sharing,obligation,statute,"Consumers have the right to opt out of the sale of their personal information, subject to statutory definitions and exceptions.",business,personal_information,personal_data,,,California,,2020-01-01,,CCPA-2026,SRC-CA-CCPA-STATUTE-2026;SRC-CA-CCPA-REGS-2026;SRC-CA-OAG-CCPA
REQ-CA-CCPA-007,California-CCPA-CPRA,sharing_opt_out,sale_and_sharing,obligation,statute,Consumers have the right to opt out of sharing of personal information for cross-context behavioural advertising where the statutory definition applies.,business,personal_information,personal_data,,,California,,2023-01-01,,CCPA-2026,SRC-CA-CCPA-STATUTE-2026;SRC-CA-CCPA-REGS-2026;SRC-CA-OAG-CCPA
REQ-CA-CCPA-008,California-CCPA-CPRA,sensitive_personal_information,sensitive_data,condition,statute,"Consumers have a right to limit certain uses and disclosures of sensitive personal information, subject to statutory conditions and exceptions.",business,sensitive_personal_information,sensitive_data,,,California,,2023-01-01,,CCPA-2026,SRC-CA-CCPA-STATUTE-2026;SRC-CA-CCPA-REGS-2026
REQ-CA-CCPA-009,California-CCPA-CPRA,minors,children,condition,statute,"California law imposes enhanced consent requirements for certain sales or sharing involving minors, with age-specific rules.",business,personal_information,personal_data,consent,yes,California,,2023-01-01,,CCPA-2026,SRC-CA-CCPA-STATUTE-2026;SRC-CA-CCPA-REGS-2026
REQ-CA-CCPA-010,California-CCPA-CPRA,non_discrimination,non_discrimination,prohibition,statute,"A business generally may not discriminate against a consumer for exercising CCPA rights, subject to statutory exceptions.",business,personal_information,personal_data,,,California,statutory_exceptions,2020-01-01,,CCPA-2026,SRC-CA-CCPA-STATUTE-2026;SRC-CA-OAG-CCPA
REQ-CA-CCPA-011,California-CCPA-CPRA,opt_out_preference_signals,opt_out_signals,obligation,delegated,Covered businesses must process qualifying opt-out preference signals as required by California law and regulations.,business,personal_information,personal_data,,,California,,2023-01-01,,CCPA-2026,SRC-CA-CCPA-REGS-2026;SRC-CA-OAG-CCPA
REQ-CA-CCPA-012,California-CCPA-CPRA,data_minimization,retention,obligation,statute,"Collection, use, retention and sharing of personal information are subject to purpose and minimization restrictions under California law.",business,personal_information,personal_data,,,California,,2023-01-01,,CCPA-2026,SRC-CA-CCPA-STATUTE-2026;SRC-CA-CCPA-REGS-2026
REQ-CA-CCPA-013,California-CCPA-CPRA,risk_assessments,accountability,obligation,delegated,The current California regulatory framework establishes requirements concerning risk assessments for covered processing activities.,business,personal_information,personal_data,,,California,,2026-01-01,,CCPA-Regulations-2026,SRC-CA-CCPA-REGS-2026
REQ-CA-CCPA-014,California-CCPA-CPRA,cybersecurity_audit,accountability,obligation,delegated,The current California regulatory framework establishes cybersecurity audit requirements for covered businesses meeting applicable conditions.,business,personal_information,personal_data,,,California,,2026-01-01,,CCPA-Regulations-2026,SRC-CA-CCPA-REGS-2026
REQ-CA-CCPA-015,California-CCPA-CPRA,automated_decision_making,automated_decision_making,obligation,delegated,"The current California regulatory framework establishes requirements concerning automated decisionmaking technology for covered uses, including specified significant-decision contexts.",business,personal_information,personal_data,,,California,,2026-01-01,,CCPA-Regulations-2026,SRC-CA-CCPA-REGS-2026
REQ-CA-CCPA-016,California-CCPA-CPRA,automated_decision_making,automated_decision_making,obligation,delegated,Additional requirements apply to specified automated decisionmaking technology,business,personal_information,personal_data,,conditional,California,Scope and implementation dates vary,2026-01-01,,CCPA-2026,SRC-CA-CCPA-REGS-2026
REQ-EP-001,EU-ePrivacy,communications_confidentiality,tracking_and_storage,obligation,statute,Member States must ensure confidentiality of communications and related traffic data through national implementation of the ePrivacy Directive.,electronic_communications_provider,communications_content;traffic_data,communications_data,,,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX;SRC-EP-EDPB-TECHNICAL-SCOPE
REQ-EP-002,EU-ePrivacy,terminal_equipment,tracking_and_storage,obligation,statute,Storage of information or access to information already stored in a subscriber or user's terminal equipment is subject to consent unless a statutory exception under Article 5(3) applies.,service_provider;website_operator,terminal_equipment_information,device_data,consent,yes,EU,communication_transmission;strictly_necessary_service,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX;SRC-EP-EDPB-TECHNICAL-SCOPE
REQ-EP-003,EU-ePrivacy,direct_marketing,direct_marketing,obligation,statute,Direct marketing by electronic communications is subject to the conditions established by Article 13 and applicable national implementation.,marketer;electronic_communications_provider,contact_data,contact_data,,,EU,existing_customer_similar_products_conditions,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX;SRC-EP-CURIA-PLANET49
REQ-EP-004,EU-ePrivacy,scope,applicability,scope,statute,Directive 2002/58/EC applies to the processing of personal data in connection with the provision of publicly available electronic communications services in public communications networks in the Union.,electronic_communications_provider,,,,,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX
REQ-EP-005,EU-ePrivacy,scope,applicability,scope,statute,"Article 5(3) concerns storing information in, or gaining access to information already stored in, the terminal equipment of a subscriber or user, and is technology-neutral. Applicability must be assessed from what information is involved, where it is stored, whose terminal equipment is involved, whether information is being stored or accessed, whether an Article 5(3) exception applies, and which Member State's transposition law applies.",website_operator;service_provider;third_party,terminal_equipment_information,device_data,,,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX;SRC-EP-EURLEX-2009-136;SRC-EP-EDPB-TECHNICAL-SCOPE
REQ-EP-006,EU-ePrivacy,terminal_equipment,tracking_and_storage,obligation,statute,"Article 5(3) is not limited to HTTP cookies. Depending on their technical operation, mechanisms including local storage, session storage, IndexedDB, tracking pixels, URL-based tracking, local processing, device or unique identifiers, some IoT mechanisms and some IP-based tracking techniques may fall within Article 5(3). Each technology must be assessed on how it actually operates and must not be automatically classified as requiring consent.",website_operator;service_provider;third_party,terminal_equipment_information,device_data,,,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX;SRC-EP-EURLEX-2009-136;SRC-EP-EDPB-TECHNICAL-SCOPE
REQ-EP-007,EU-ePrivacy,consent,consent,obligation,statute,"Consent for storage of, or access to, information on terminal equipment cannot be obtained through a pre-ticked checkbox; valid consent requires active user participation.",website_operator;service_provider,terminal_equipment_information,device_data,consent,yes,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX;SRC-EP-CURIA-PLANET49
REQ-EP-008,EU-ePrivacy,consent,consent,obligation,statute,"Where GDPR consent standards apply to an ePrivacy operation, consent must be freely given, specific, informed, unambiguous and based on a clear affirmative action.",website_operator;service_provider;controller,terminal_equipment_information,device_data,consent,yes,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX;SRC-GDPR-EURLEX
REQ-EP-009,EU-ePrivacy,consent,consent,obligation,statute,"For technologies requiring Article 5(3) consent, the consent decision must occur before the relevant storage or access operation.",website_operator;service_provider,terminal_equipment_information,device_data,consent,yes,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX;SRC-EP-EURLEX-2009-136
REQ-EP-010,EU-ePrivacy,terminal_equipment,tracking_and_storage,obligation,statute,Consent is not required under Article 5(3) where the storage or access is used for the sole purpose of carrying out the transmission of a communication over an electronic communications network.,website_operator;service_provider;electronic_communications_provider,terminal_equipment_information,device_data,,no,EU,communication_transmission,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX;SRC-EP-EURLEX-2009-136
REQ-EP-011,EU-ePrivacy,terminal_equipment,tracking_and_storage,obligation,statute,Consent is not required under Article 5(3) where the storage or access is strictly necessary for the provider to provide an information society service explicitly requested by the subscriber or user.,website_operator;service_provider,terminal_equipment_information,device_data,,no,EU,strictly_necessary_requested_service,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX;SRC-EP-EURLEX-2009-136;SRC-EP-EDPB-TECHNICAL-SCOPE
REQ-EP-012,EU-ePrivacy,retention,retention,obligation,statute,"Traffic data must generally be erased or made anonymous when it is no longer needed for the transmission of a communication. Additional processing is permitted only under the conditions specified in the Directive, including billing, interconnection payments, certain value-added services, and marketing of electronic communications services subject to the Directive's conditions.",electronic_communications_provider,traffic_data,communications_data,,,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX
REQ-EP-013,EU-ePrivacy,consent,consent,obligation,statute,"Location data other than traffic data may generally be processed where it is anonymised, or with consent for the duration necessary for a value-added service. Users must be informed of the type of location data, the purposes and the duration of processing, and must be able to withdraw consent or temporarily suspend processing easily and free of charge.",electronic_communications_provider,location_data,communications_data,consent,conditional,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX
REQ-EP-014,EU-ePrivacy,direct_marketing,direct_marketing,obligation,statute,"Article 13 establishes rules for unsolicited communications for direct marketing. For certain electronic communications, prior consent is required.",marketer,contact_data,contact_data,consent,conditional,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX
REQ-EP-015,EU-ePrivacy,direct_marketing,direct_marketing,obligation,statute,"Article 13(2) provides a limited exception where the contact details were obtained in the context of a sale of a product or service, the marketing concerns the provider's own similar products or services, and the customer was given a clear and free opportunity to object when the details were collected and with each subsequent communication.",marketer,contact_data,contact_data,,conditional,EU,existing_customer_similar_products_conditions,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX
REQ-EP-016,EU-ePrivacy,notice,notice,obligation,statute,"Users must receive the information required by the applicable ePrivacy and GDPR provisions. For Article 5(3), the information should allow users to understand the relevant storage or access operations and their purpose.",website_operator;service_provider;controller,terminal_equipment_information,device_data,,,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX;SRC-EP-EURLEX-2009-136
REQ-EP-017,EU-ePrivacy,withdrawal,withdrawal,obligation,statute,"Where storage, access or processing is based on consent, withdrawal must be possible under the applicable consent rules. Under GDPR Article 7(3), withdrawal of GDPR consent must be as easy as giving consent.",website_operator;service_provider;controller,terminal_equipment_information,device_data,consent,yes,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX;SRC-GDPR-EURLEX
REQ-EP-018,EU-ePrivacy,vendor_relationship,vendor_relationship,obligation,statute,"Third-party technologies must be assessed on their actual role, which may be processor, controller, joint controller or independent third party. The ePrivacy Directive itself must not be interpreted as automatically making every cookie or vendor relationship a processor relationship.",third_party;processor;controller,,,,,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX
REQ-EP-019,EU-ePrivacy,enforcement,enforcement,enforcement,statute,"Because the ePrivacy Directive is implemented through national law, enforcement powers and penalties are primarily determined through Member State implementation. Where the GDPR applies, national supervisory authorities may enforce applicable GDPR requirements, and CJEU judgments must be considered when interpreting EU-law requirements.",electronic_communications_provider;website_operator;controller,,,,,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX
REQ-EP-020,EU-ePrivacy,scope,applicability,scope,statute,"Because the ePrivacy Directive applies through national transposition, national implementing laws and national regulator guidance must be recorded and evaluated separately from EU-level requirements, rather than assuming that one EU-wide technical rule answers every national-law question.",website_operator;service_provider;electronic_communications_provider,,,,,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX
REQ-EP-021,EU-ePrivacy,scope,applicability,scope,statute,"The ePrivacy Directive and the GDPR operate together. ePrivacy contains specific rules for electronic communications and access to information stored on terminal equipment; where information obtained through an ePrivacy-covered technology is personal data, GDPR obligations may additionally apply. The GDPR does not replace Article 5(3).",website_operator;service_provider;controller,,,,,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX;SRC-GDPR-EURLEX
REQ-EP-022,EU-ePrivacy,scope,applicability,scope,statute,"Member States may adopt restrictions under Article 15 for specified purposes. Those restrictions, and other provisions concerning emergency, security, law-enforcement and regulatory requirements, must be checked against national implementation before being converted into a technical rule.",electronic_communications_provider;website_operator,,,,,EU,article_15_member_state_restrictions;emergency_security_law_enforcement_regulatory,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX
REQ-EP-023,EU-ePrivacy,children,children,condition,statute,"The ePrivacy Directive does not establish a standalone general children's-data regime equivalent to GDPR Article 8. Where personal data is processed, GDPR children's-data and special-category requirements may apply, and these must not be represented as independent ePrivacy rules.",website_operator;service_provider;controller,child_or_minor_data,child_data,,,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX;SRC-GDPR-EURLEX
REQ-EP-024,EU-ePrivacy,commencement,effective_dates,timing,statute,"The EU Directive, its amendments, national transposition and regulator guidance must be stored as separate versioned sources.",website_operator;controller,,,,,EU,,2002-07-31,,Directive-2002-58-EC,SRC-EP-EURLEX;SRC-EP-EURLEX-2009-136
REQ-GDPR-001,GDPR,territorial_scope,applicability,scope,statute,"GDPR applies to processing within its territorial scope, including specified processing activities connected with offering goods or services to, or monitoring the behaviour of, individuals in the Union.",controller;processor,personal_data,personal_data,,,EU,,2018-05-25,,GDPR-2016-679,SRC-GDPR-EURLEX
REQ-GDPR-002,GDPR,lawful_basis,lawful_basis,condition,statute,Processing must have a lawful basis under Article 6.,controller,personal_data,personal_data,consent;contract;legal_obligation;vital_interests;public_task;legitimate_interests,,EU,,2018-05-25,,GDPR-2016-679,SRC-GDPR-EURLEX;SRC-GDPR-EDPB-LAWFUL-BASIS
REQ-GDPR-003,GDPR,consent,consent,obligation,statute,"Where consent is relied upon, consent must satisfy GDPR requirements including being freely given, specific, informed and unambiguous, with a clear affirmative action.",controller,personal_data,personal_data,consent,yes,EU,,2018-05-25,,GDPR-2016-679,SRC-GDPR-EURLEX
REQ-GDPR-004,GDPR,special_categories,sensitive_data,condition,statute,Processing of special categories of personal data is prohibited unless an Article 9 exception applies.,controller;processor,special_category_data,sensitive_data,,,EU,article_9_conditions,2018-05-25,,GDPR-2016-679,SRC-GDPR-EURLEX
REQ-GDPR-005,GDPR,children,children,condition,statute,"For information-society services offered directly to a child, consent-based processing is subject to Article 8 age and parental-authorisation requirements, subject to Member State variation within the permitted range.",controller,personal_data,personal_data,consent,,EU,,2018-05-25,,GDPR-2016-679,SRC-GDPR-EURLEX
REQ-GDPR-006,GDPR,transparency,notice,obligation,statute,"Controllers must provide required information to data subjects in a concise, transparent, intelligible and easily accessible form.",controller,personal_data,personal_data,,,EU,,2018-05-25,,GDPR-2016-679,SRC-GDPR-EURLEX;SRC-GDPR-EC
REQ-GDPR-007,GDPR,data_subject_rights,rights,right,statute,"Data subjects have rights including access, rectification, erasure, restriction, portability and objection, subject to applicable conditions and exceptions.",controller,personal_data,personal_data,,,EU,gdpr_right_specific_exceptions,2018-05-25,,GDPR-2016-679,SRC-GDPR-EURLEX;SRC-GDPR-EC
REQ-GDPR-008,GDPR,international_transfers,international_transfer,obligation,statute,Transfers of personal data to third countries or international organisations require an applicable GDPR transfer mechanism.,controller;processor,personal_data,personal_data,,,EU,adequacy_decision;appropriate_safeguards;derogations,2018-05-25,,GDPR-2016-679,SRC-GDPR-EURLEX;SRC-GDPR-EC
REQ-GDPR-009,GDPR,retention,retention,obligation,statute,Personal data should not be kept longer than necessary for identified purposes,controller,personal_data,personal_data,,no,EU,Legal obligations and statutory exceptions,2018-05-25,,GDPR-2016-679,SRC-GDPR-EURLEX
REQ-GDPR-010,GDPR,security,security,obligation,statute,Implement appropriate technical and organisational measures,controller;processor,personal_data,personal_data,,no,EU,Risk-based measures,2018-05-25,,GDPR-2016-679,SRC-GDPR-EURLEX
REQ-GDPR-011,GDPR,security,security,obligation,statute,Personal-data breaches may trigger supervisory-authority and data-subject notification duties,controller,personal_data,personal_data,,no,EU,72-hour supervisory notification subject to Article 33 conditions; Article 34 risk threshold,2018-05-25,,GDPR-2016-679,SRC-GDPR-EURLEX
REQ-GDPR-012,GDPR,vendor_relationship,vendor_relationship,obligation,statute,Controller-processor relationships require Article 28 compliance,controller;processor,personal_data,personal_data,,no,EU,Article 28 conditions,2018-05-25,,GDPR-2016-679,SRC-GDPR-EURLEX
REQ-GDPR-013,GDPR,international_transfer,international_transfer,obligation,statute,Transfers outside EEA require Chapter V mechanism,controller;processor,personal_data,personal_data,,conditional,EU,Chapter V conditions,2018-05-25,,GDPR-2016-679,SRC-GDPR-EURLEX
REQ-GDPR-014,GDPR,accountability,accountability,obligation,statute,DPO requirements apply in specified circumstances,controller;processor,personal_data,personal_data,,no,EU,Article 37 conditions,2018-05-25,,GDPR-2016-679,SRC-GDPR-EURLEX
REQ-GDPR-015,GDPR,accountability,accountability,obligation,statute,DPIA required for processing likely to result in high risk in specified circumstances,controller,personal_data,personal_data,,no,EU,Article 35 conditions,2018-05-25,,GDPR-2016-679,SRC-GDPR-EURLEX
REQ-GDPR-016,GDPR,enforcement,enforcement,enforcement,statute,Supervisory authorities may impose corrective measures and administrative fines,controller;processor,personal_data,personal_data,,,EU,Articles 83-84 conditions,2018-05-25,,GDPR-2016-679,SRC-GDPR-EURLEX
REQ-IN-DPDP-ACT-001,India-DPDP-Act,scope,applicability,scope,statute,"The Act applies to digital personal data processed in India where the personal data is collected digitally or collected in non-digital form and subsequently digitised, and to certain processing outside India connected with offering goods or services to Data Principals in India.",data_fiduciary;data_processor,digital_personal_data,personal_data,,,India,,2027-05-13,,DPDP-Act-2023,SRC-IN-DPDP-ACT;SRC-IN-DPDP-ACT-COMMENCEMENT
REQ-IN-DPDP-ACT-002,India-DPDP-Act,lawful_processing,lawful_basis,condition,statute,A Data Fiduciary may process personal data for a lawful purpose on the basis of consent or specified legitimate uses under the Act.,data_fiduciary,digital_personal_data,personal_data,consent;legitimate_use,,India,specified_legitimate_uses,2027-05-13,,DPDP-Act-2023,SRC-IN-DPDP-ACT;SRC-IN-DPDP-ACT-COMMENCEMENT
REQ-IN-DPDP-ACT-003,India-DPDP-Act,consent,consent,obligation,statute,"Consent must be free, specific, informed and unambiguous, with a clear affirmative action, and must be capable of withdrawal.",data_fiduciary,digital_personal_data,personal_data,consent,yes,India,,2027-05-13,,DPDP-Act-2023,SRC-IN-DPDP-ACT;SRC-IN-DPDP-ACT-COMMENCEMENT
REQ-IN-DPDP-ACT-004,India-DPDP-Act,notice,notice,obligation,statute,The Data Fiduciary must give notice containing required information concerning the personal data and purpose of processing.,data_fiduciary,digital_personal_data,personal_data,,,India,,2027-05-13,,DPDP-Act-2023,SRC-IN-DPDP-ACT;SRC-IN-DPDP-ACT-COMMENCEMENT
REQ-IN-DPDP-ACT-005,India-DPDP-Act,withdrawal,withdrawal,obligation,statute,"Withdrawal of consent must be as easy as giving consent, and processing must cease unless otherwise authorised under the Act.",data_fiduciary,digital_personal_data,personal_data,consent,yes,India,other_authorisation_under_act,2027-05-13,,DPDP-Act-2023,SRC-IN-DPDP-ACT;SRC-IN-DPDP-ACT-COMMENCEMENT
REQ-IN-DPDP-ACT-006,India-DPDP-Act,data_subject_rights,rights,right,statute,"Data Principals have rights including access to information, correction and erasure, grievance redressal and nomination, subject to the Act.",data_fiduciary,digital_personal_data,personal_data,,,India,,2027-05-13,,DPDP-Act-2023,SRC-IN-DPDP-ACT;SRC-IN-DPDP-ACT-COMMENCEMENT
REQ-IN-DPDP-ACT-007,India-DPDP-Act,children,children,condition,statute,"Processing personal data of children requires verifiable parental consent and is subject to restrictions on detrimental processing, tracking or behavioural monitoring, and targeted advertising, subject to statutory exemptions.",data_fiduciary,child_personal_data,child_data,consent,,India,notified_exemptions,2027-05-13,,DPDP-Act-2023,SRC-IN-DPDP-ACT;SRC-IN-DPDP-ACT-COMMENCEMENT
REQ-IN-DPDP-ACT-008,India-DPDP-Act,security,security,obligation,statute,Data Fiduciaries must implement reasonable security safeguards to prevent personal data breaches.,data_fiduciary,digital_personal_data,personal_data,,,India,,2027-05-13,,DPDP-Act-2023,SRC-IN-DPDP-ACT;SRC-IN-DPDP-ACT-COMMENCEMENT
REQ-IN-DPDP-ACT-009,India-DPDP-Act,international_transfer,international_transfer,obligation,statute,The Central Government may restrict transfer of personal data by a Data Fiduciary for processing outside India to notified countries or territories.,data_fiduciary,digital_personal_data,personal_data,,,India,,2027-05-13,,DPDP-Act-2023,SRC-IN-DPDP-ACT;SRC-IN-DPDP-ACT-COMMENCEMENT
REQ-IN-DPDP-ACT-010,India-DPDP-Act,significant_data_fiduciary,accountability,obligation,statute,A Significant Data Fiduciary is subject to additional governance obligations including appointment of a Data Protection Officer and independent data auditor and specified impact assessment and audit requirements.,significant_data_fiduciary,digital_personal_data,personal_data,,,India,,2027-05-13,,DPDP-Act-2023,SRC-IN-DPDP-ACT;SRC-IN-DPDP-ACT-COMMENCEMENT
REQ-IN-DPDP-ACT-011,India-DPDP-Act,vendor_relationship,vendor_relationship,obligation,statute,Data Fiduciary remains responsible for processing performed by processors on its behalf,processor;data_fiduciary,digital_personal_data,personal_data,,no,India,Section 8 conditions,2023-08-11,,DPDP-Act-2023,SRC-IN-DPDP-ACT
